SNo,Month,Date,Country,RegionCode,RegionName,Latitude,Longitude,HospitalizedPatients,IntensiveCarePatients,TotalHospitalizedPatients,HomeConfinement,CurrentPositiveCases,NewPositiveCases,Recovered,Deaths,TotalPositiveCases,TestsPerformed
0,2,24,ITA,13,Abruzzo,42.35122196,13.39843823,0,0,0,0,0,0,0,0,0,
1,2,24,ITA,17,Basilicata,40.63947052,15.80514834,0,0,0,0,0,0,0,0,0,
2,2,24,ITA,18,Calabria,38.90597598,16.59440194,0,0,0,0,0,0,0,0,0,
3,2,24,ITA,15,Campania,40.83956555,14.25084984,0,0,0,0,0,0,0,0,0,
4,2,24,ITA,8,Emilia-Romagna,44.49436681,11.3417208,10,2,12,6,18,18,0,0,18,
5,2,24,ITA,6,Friuli Venezia Giulia,45.6494354,13.76813649,0,0,0,0,0,0,0,0,0,
6,2,24,ITA,12,Lazio,41.89277044,12.48366722,1,1,2,0,2,2,1,0,3,
7,2,24,ITA,7,Liguria,44.41149315,8.9326992,0,0,0,0,0,0,0,0,0,
8,2,24,ITA,3,Lombardia,45.46679409,9.190347404,76,19,95,71,166,166,0,6,172,
9,2,24,ITA,11,Marche,43.61675973,13.5188753,0,0,0,0,0,0,0,0,0,
10,2,24,ITA,14,Molise,41.55774754,14.65916051,0,0,0,0,0,0,0,0,0,
11,2,24,ITA,21,P.A. Bolzano,46.49933453,11.35662422,0,0,0,0,0,0,0,0,0,
12,2,24,ITA,22,P.A. Trento,46.06893511,11.12123097,0,0,0,0,0,0,0,0,0,
13,2,24,ITA,1,Piemonte,45.0732745,7.680687483,2,0,2,1,3,3,0,0,3,
14,2,24,ITA,16,Puglia,41.12559576,16.86736689,0,0,0,0,0,0,0,0,0,
15,2,24,ITA,20,Sardegna,39.21531192,9.110616306,0,0,0,0,0,0,0,0,0,
16,2,24,ITA,19,Sicilia,38.11569725,13.3623567,0,0,0,0,0,0,0,0,0,
17,2,24,ITA,9,Toscana,43.76923077,11.25588885,0,0,0,0,0,0,0,0,0,
18,2,24,ITA,10,Umbria,43.10675841,12.38824698,0,0,0,0,0,0,0,0,0,
19,2,24,ITA,2,Valle d'Aosta,45.73750286,7.320149366,0,0,0,0,0,0,0,0,0,
20,2,24,ITA,5,Veneto,45.43490485,12.33845213,12,4,16,16,32,32,0,1,33,
21,2,25,ITA,13,Abruzzo,42.35122196,13.39843823,0,0,0,0,0,0,0,0,0,
22,2,25,ITA,17,Basilicata,40.63947052,15.80514834,0,0,0,0,0,0,0,0,0,
23,2,25,ITA,18,Calabria,38.90597598,16.59440194,0,0,0,0,0,0,0,0,0,
24,2,25,ITA,15,Campania,40.83956555,14.25084984,0,0,0,0,0,0,0,0,0,
25,2,25,ITA,8,Emilia-Romagna,44.49436681,11.3417208,15,2,17,9,26,8,0,0,26,
26,2,25,ITA,6,Friuli Venezia Giulia,45.6494354,13.76813649,0,0,0,0,0,0,0,0,0,
27,2,25,ITA,12,Lazio,41.89277044,12.48366722,1,1,2,0,2,0,1,0,3,
28,2,25,ITA,7,Liguria,44.41149315,8.9326992,1,0,1,0,1,1,0,0,1,
29,2,25,ITA,3,Lombardia,45.46679409,9.190347404,,25,104,127,231,68,0,9,240,
30,2,25,ITA,11,Marche,43.61675973,13.5188753,,0,0,0,0,0,0,0,0,
